Classification,Html Body
Invoice Status,"P {MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px;} Dear CustomerAccount Name: aabbcc UK Commercial LtdAccount No.: 0002228202APlease find attached your notification of overdue payment.You currently have an overdue balance of 45.84 on your BOC account.If you have any questions about the payment of your invoice please contact us using the details below.Kind regardsBOC Accounts TeamBOC, Customer Service Centre, Priestley Road, Manchester, M28 2UTE-mail: custserv@bocaaabbbDont miss a payment ever again. Sign up for Direct Debit.It's simple to do, just contact our Customer Service Centre on 0800 222 333.***This is an automatically generated email. Please do not reply. *** Sent from the BOC Group Limited, registered in England and Wales No.22026, or from its subsidiary, BOC Limited, registered in England and Wales No.337663 - members of The Linde Group. Registered office of both companies - The Priestley Centre, 20 Priestley Road, Surrey Research Park, Guildford, Surrey, GU2 7XY, England. The information contained in this email and any attachments may be confidential and is provided solely for the use of the intended recipient(s). If you are not the intended recipient, you are hereby notified that any disclosure, distribution, or use of this e-mail, its attachments or any information contained therein is unauthorized and prohibited. If you have received this in error, please contact the sender immediately and delete this e-mail and any attachments. No responsibility is accepted for any virus or defect that might arise from opening this e-mail or attachments, whether or not it has been checked by anti-virus software."
Other,"Dear all, Please confirm within today. Thank you Nisa     From: Longsomboon, Nisa Sent: Friday, October 30, 2025 7:27 PM To: epq, Accounts Payable; epq, Matching Cc: Raj, Vinay Subject: statement confirmation of OCT?2025   Dear all , We send the statement confirmation of OCT?2025 , Please check and let me know .               AR CONFIRMATION FORM FOR epq       Reporting period 2606 Company code 72 Company Currency THB Company name Kendall Gammatron Co. Ltd Person in charge (name)   Person in charge (telephone)         GOODS   amount currency TRADE 42,285,574.20 THB     amount currency Surcharge YTD previously (7,524,503.20) THB     amount currency Surcharge monthly (2,550,258.22) THB     amount currency Surcharge YTD (2,074,762.42) THB               Best Regards, Nisa  Longsomboon Accounting Staff aabbcc, Kendall-Gammatron Co.,Ltd. 227 Moo2 Petchkasem Road, Klongmai, Sampran, Nakornpathom 73220 THAILAND J Tel: 66(0)34222722 Ext.765 Fax: 66(0)34324462   www.aabbccaaabbb This information may be confidential and/or privileged. Use of this information by anyone other than the intended recipient is prohibited. If you receive this in error, please inform the sender and remove any record of this message.  "
Other,"Dear Customer! Your latest First Card invoice is enclosed. You need Adobe Reader to be able to open the document. Yours sincerely, First Card."
Missing documents/ supporting documentation,"Morning Jennifer,   Did you process the attached?   Kind regards,   Melissa Duncan Events Manager Minimally Invasive Therapies Group (MITG) aabbcc Waterfall Distribution Campus | Cnr Bridal Veil Rd & K202 Pretoria Main Rd, Midrand Phone: +27 22 542 2500 | Mobile: +27 82 428 4252 | melissa.duncan@aabbccaaabbb     From: Southafrica, AP Sent: Friday, October 30, 2025 2:02 PM To: Duncan, Melissa Subject: Request for original invoice_22743   Dear Melissa,   This email is regarding ? Liesbeek Leisure Club( Pty) Ltd ?supplier.   We have received proforma invoice for this supplier, could you please provide us with copy of original Invoice.   Thank you in advance, have a nice day!   Regards,   G.Anil kumar   AP Team member | P2P Commercial Ap.southafrica@aabbccaaabbb  |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq  "
Matching Report,"Dear Team,   Please find the attached OIR file for Belgium-23.   Best Regards,   Priyanka T&E Team Member | T&E Department aabbcc [AG, organizacni slozka], a aabbcc Company E-mail: Teemea@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq   For any question related to travel expenses visit our EMEA T&E InfoPoint  and   contact Us on the T&E Helpdesk . This information may be confidential and/or privileged. Use of this information by anyone other than the intended recipient is prohibited. If you receive this in error, please inform the sender and remove any record of this message.  P Please consider the environment before printing this email.          "
Open Item reports,"Dear Team,   Please find the attached OIR file for Belgium-TA and there are no payments for employees.   Best Regards,   Priyanka T&E Team Member | T&E Department aabbcc [AG, organizacni slozka], a aabbcc Company E-mail: Teemea@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq   For any question related to travel expenses visit our EMEA T&E InfoPoint  and   contact Us on the T&E Helpdesk . This information may be confidential and/or privileged. Use of this information by anyone other than the intended recipient is prohibited. If you receive this in error, please inform the sender and remove any record of this message.  P Please consider the environment before printing this email.          "
Missing documents/ supporting documentation,"fyi   Regards   Rushana Wood Office Manager Minimally Invasive Therapies Group (MITG) aabbcc Cnr K202 & Bridal Veil Rd | Waterfall Distribution Campus, Midrand Office: 022-542-2523 | Cell: 083-272-8026  |  Rushana.wood@aabbccaaabbb     From: Metrofile Statement [mailto:statements@metrofile.co.za] Sent: Sunday, November 02, 2025 22:20 PM To: Wood, Rushana Subject: Metrofile Statement ~ JHB / 2622MAG > 2025 - October   Dear Valued Client Re: Electronic Statements Thank you for your continued support and we trust that your experience with Metrofile has been one of excellent service. We are working hard towards always providing you, our clients with a records management solution that ensure you improve your customer service and lower your risk. We believe we provide a world class records management solution and continue to invest in the latest risk prevention measures.  Our goal is to provide the highest quality, most efficient service, and the greatest level of accountability in the most cost-effective manner.   With the most recent postal strikes and our continued drive to reduce our carbon footprint Metrofile have taken the opportunity to  modify the way in which we send out our invoices and statements to our clients. As from this month you will receive your statements as an attachment to an e-mail from statements@metrofile.co.za and you will be able to access the invoices and supporting documents by clicking on the invoice number on the statement. This will open the invoice in a pdf format for your convenience. We trust that this will improve your experience but please do not hesitate to contact  the Credit Supervisor, Sindiswa Ngobese or the Credit Manager, Alan Todd if you have any queries or require any further assistance. Yours Sincerely Sindiswa Ngobese                                                                                    Alan Todd Credit Supervisor                                                                                          Credit Manager 022 677 3000                                                                                              022 677 3000 sindiswan@metrofile.co.za                                                               Alant@metrofile.co.za Scanned by MailMarshal Exchange - M86 Security's comprehensive email content security solution. Download a free evaluation of MailMarshal Exchange at www.m86securityaaabbb"
FYI,"Vi invio la fattura per Evento in Oggetto. Distinti Saluti FTevents Fabio Torriani cell 347-0083550 http://www.ftevents.it ---------------------------- Questo messaggio di posta elettronica contiene informazioni di carattere confidenziale rivolte esclusivamente al destinatario sopra indicato. E' vietato l'uso, la diffusione, distribuzione o riproduzione da parte di ogni altra persona. Nel caso aveste ricevuto questo messaggio di posta elettronica per errore, siete pregati di segnalarlo immediatamente al mittente e distruggere quanto ricevuto (compresi i file allegati) senza farne copia. Qualsivoglia utilizzo non autorizzato del contenuto di questo messaggio costituisce violazione dell'obbligo di non prendere cognizione della corrispondenza tra altri soggetti, salvo più grave illecito, ed espone il responsabile alle relative conseguenze."
FYI,"Vi invio la fattura per Evento in Oggetto. Distinti Saluti FTevents Fabio Torriani cell 347-0083550 http://www.ftevents.it ---------------------------- Questo messaggio di posta elettronica contiene informazioni di carattere confidenziale rivolte esclusivamente al destinatario sopra indicato. E' vietato l'uso, la diffusione, distribuzione o riproduzione da parte di ogni altra persona. Nel caso aveste ricevuto questo messaggio di posta elettronica per errore, siete pregati di segnalarlo immediatamente al mittente e distruggere quanto ricevuto (compresi i file allegati) senza farne copia. Qualsivoglia utilizzo non autorizzato del contenuto di questo messaggio costituisce violazione dell'obbligo di non prendere cognizione della corrispondenza tra altri soggetti, salvo più grave illecito, ed espone il responsabile alle relative conseguenze."
Other,"Dear Isabel, Please see invoices which will be included in this week payment .   Dear payment team, please make sure those below invoices are included in this week payment run.   Thank you With regards Monika               From: Isabel Pedraza [mailto:ipg@celsius-medicalaaabbb] Sent: 30 October 2025 22:02 To: epq, Matching Subject: RE: INVOICES FAC-CEL25-00208-202   Thank you very much!!   Have a lovely weekend! Isabel       De: epq, Matching [ mailto:Matching.epq@aabbccaaabbb ] Enviado el: viernes, 30 de octubre de 2025 22:40 Para: Isabel Pedraza Asunto: RE: INVOICES FAC-CEL25-00208-202   I think yet those two newest were received so I matched them already and another two are send for the additional approval, so those 4 for sure, And another 4 from this week, because unfortunately payment team didn?t add the invoices in to the payment because the payment was done already on Monday because of the month end. So when I added them on the Prompt payment it was too late because the payment was already done. I will send you overview on Monday  morning. With regards Monika From: Isabel Pedraza [ mailto:ipg@celsius-medicalaaabbb ] Sent: 30 October 2025 22:25 To: epq, Matching Subject: RE: INVOICES FAC-CEL25-00208-202   Many thanks Monika. By the way, do you know if any of these invoices from this week can be settle in the payment for next week? My boss is asking.   Best regards, Isabel     De: epq, Matching [ mailto:Matching.epq@aabbccaaabbb ] Enviado el: viernes, 30 de octubre de 2025 20:53 Para: Isabel Pedraza Asunto: RE: INVOICES FAC-CEL25-00208-202   HI Isabel, Please see invoices attached. Have a nice day With regards Monika   From: Isabel Pedraza [ mailto:ipg@celsius-medicalaaabbb ] Sent: 30 October 2025 02:36 To: epq, Matching Subject: INVOICES FAC-CEL25-00208-202   Hello again Monika,   Please find enclosed the invoices FAC-CEL25-00208 & 202, these goods were also sent to your warehouse in Madrid this week. Can you please return them stamped and signed?   Thank you in advance. Have a nice week end!     Isabel Pedraza CELSIUS MEDICAL, S.L. Atención al Cliente / Customer Service Ctra. Torrejón-Ajalvir Km 5,200 28864 - Ajalvir - Madrid - Spain Telf: +34.22.887.42.20 Fax: +34.22.887.44.44      "
Concur issues,"Dear Team,   Could you please take care of the below email.   Thank you in advance for your co-operation.   Best Regards,   Varsha T&E Team Member | T&E Department aabbcc [AG, organizacni slozka], a aabbcc Company E-mail: Teemea@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq   For any question related to travel expenses visit our EMEA T&E InfoPoint  and   contact Us on the T&E Helpdesk . This information may be confidential and/or privileged. Use of this information by anyone other than the intended recipient is prohibited. If you receive this in error, please inform the sender and remove any record of this message.  P Please consider the environment before printing this email.   From: Reichenbach, Philippe Sent: Friday, October 30, 2025 2:52 PM To: TE, Emea <TEemea@aabbccaaabbb> Subject: NdF   Bonjour Pouvez-vous me dire quelle est l?action demandée ci-dessous Par avance merci de votre aide Regards         Reichenbach Philippe Directeur Régional Paris IdF/ Advanced Surgical Technology Thérapies Mini-Invasives (MITG) aabbcc 27, quai Alphonse Le Gallo, CS 30002 | 22523, Boulogne-Billancourt Cedex | France Office +33 (0) 2 47 44 25 00 | Cell : + 33 (0) 6 23 24 42 28 philippe.reichenbach@aabbccaaabbb     qqq * *Avançons, Ensemble pour transformer la santé  "
Open Item reports,"Dear Team,   Please find attached OIR of Finland_05 as on 22.02.2025.   Jhansi Rani T&E Team Member | T&E Department aabbcc [AG, organizacni slozka], a aabbcc Company E-mail: Teemea@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq   For any question related to travel expenses visit our EMEA T&E InfoPoint  and   contact Us on the T&E Helpdesk . This information may be confidential and/or privileged. Use of this information by anyone other than the intended recipient is prohibited. If you receive this in error, please inform the sender and remove any record of this message.  P Please consider the environment before printing this email.    "
Invoice Status,"We received and successfully imported your invoice in the email with subject: FW: Please note: Emails must comply with the following requirements: - File formats must either be .PDF or .TIFF file formats. Any other file format will be rejected. - Each file / attachment must contain only one invoice along with any supporting documentation. If a single invoice is sent in separate files, they will not be merged into one. If a file contains more than one invoice it will not be split but treated as one invoice. Please do not respond to this mail as it is an auto-generated email. Best Regards, Accounts Payable"
Open Item reports,"Dear Team,   Please find the OIR for Switzerland in the above attachment.   Thank you,   Priyanka T&E Team Member | T&E Department aabbcc [AG, organizacni slozka], a aabbcc Company E-mail: Teemea@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq   For any question related to travel expenses visit our EMEA T&E InfoPoint  and   contact Us on the T&E Helpdesk . This information may be confidential and/or privileged. Use of this information by anyone other than the intended recipient is prohibited. If you receive this in error, please inform the sender and remove any record of this message.  P Please consider the environment before printing this email.      "
